record_id,text,y_true,y_pred,model_name,scenario,split,matched_slang_terms
REC_009269,"được biết nữ sinh này hiện không bị xử lý hình sự vì còn đang tuổi vị thành niên vụ việc nữ giáo viên tiểu học tại chiết giang bị học sinh hanhhung đang khiến nhiều cư dân mạng trung quốc bức xúc. nguồn cơn câu chuyện xảy ra vào ngày 7/1/2026, trong lúc can ngăn hai học sinh ẩu đả trong giờ ra chơi, nữ giáo viên họ tống (42 tuổi) bất ngờ bị một nữ sinh tancong vào mắt phải. kết quả là nhãn cầu phải của cô bị mất thị lực nghiêm trọng. tính đến thời điểm hiện tại, cô tống đã trải qua 2 cuộc phẫu thuật mắt nhưng tình trạng vẫn rất nặng. bác sĩ cho biết thị lực của cô hiện chỉ còn 004, đồng thời có nguy cơ gặp nhiều biến chứng lâu dài như đục thủy tinh thể hay tăng nhãn áp. trong chia sẻ mới đây, nữ giáo viên cho biết vụ việc đã để lại cho cô cú sốc tâm lý rất lớn. đồng thời, cô mong nữ sinh liên quan sẽ nhận hình thức xử lý và giáo dục phù hợp. cô cũng bày tỏ bản thân hiện không còn phù hợp để tiếp tục đứng lớp tại ngôi trường cũ và hy vọng sẽ được điều chuyển công tác. phía sở giáo dục cho biết yêu cầu này của cô tống vẫn đang được xem xét, sắp xếp. bên cạnh đó, phụ huynh của nữ sinh này đã đứng ra xin lỗi và cho biết sẽ chịu trách nhiệm tương ứng. riêng nữ sinh vì còn tuổi vị thành niên nên không bị xử lý hình sự.",T03,T13,RandomForest,05_Balanced,val,sốc
REC_008936,"cháy nhà ở trung tâm tphcm, cụ ông 92 tuổi cùng ba phụ nữ được giải cứu đêm 30/4, hỏa hoạn bùng phát tại nhà ở kết hợp kinh doanh ở số 225 trần hưng đạo (tphcm), khiến 4 người mắc kẹt; lực lượng cảnh sát pccc đã kịp thời xuyên khói, giải cứu an toàn. danh tính 4 người được cứu thoát gồm cụ ông nt.đ (92 tuổi, chủ nhà), bà nt.p (70 tuổi, con chủ nhà) cùng hai người giúp việc là chị lt.mt (32 tuổi) và chị nt.d (46 tuổi).",T09,T13,RandomForest,05_Balanced,val,giải cứu
REC_008421,"vib gây chấn động khi lo trọn gói tour đưa chủ thẻ đi los angeles gặp bts vib vừa gây bất ngờ lớn khi trở thành ngân hàng duy nhất tại châu á hợp tác cùng visa triển khai đặc quyền: đưa chủ thẻ việt nam vươn tầm thế giới tại bts world tour 'arirang' (los angeles, mỹ). đặc quyền ""special access"" trọn gói: không chỉ dừng lại ở cặp vé concert cực hiếm ngày 05/09, vib còn đài thọ toàn bộ vé máy bay khứ hồi, 4 đêm lưu trú khách sạn 5 sao và dịch vụ đưa đón. rào cản lớn nhất là thủ tục xin visa mỹ nay đã được vib hỗ trợ toàn bộ lệ phí và quy trình thực hiện cho người trúng giải. giá trị cốt lõi: chương trình tập trung vào tính công bằng. với tối đa 8 lượt quay may mắn tại vspin friday hàng tuần, cơ hội được chia đều cho tất cả, loại bỏ hoàn toàn cuộc đua ""top chi tiêu"". cánh cửa đến los angeles đã mở sẵn, thay vì chỉ dõi theo từ xa, giờ đây các army việt nam đã có thể tự tin viết nên chương mới cho hành trình thanh xuân của mình cùng sự đồng hành từ vib",T02,T10,RandomForest,05_Balanced,val,chấn động
REC_000748,"kịp thời cứu nạn thiếu nữ rơi xuống giếng sâu lúc rạng sáng. sự việc xảy ra vào khoảng 4 giờ sáng ngày 28/3, bà la thị nhanh (sn 1950, trú tổ dân phố ca công, phường hoài nhơn đông, tỉnh gia lai) đang ở trong nhà thì nghe tiếng động lạ phía giếng đào bên không nhà. ra kiểm tra, bà bàng hoàng phát hiện cháu nội là đỗ thị như q. (sn 2004) đã rơi xuống giếng nên lập tức hô hoán và trình báo cơ quan chức năng. tiếp nhận tin báo, công an phường hoài nhơn đông đã nhanh chóng có mặt, phối hợp với đội chữa cháy và cứu nạn cứu hộ khu vực số 4 (phòng cảnh sát pccc và cnch, công an tỉnh gia lai) triển khai các phương án cứu hộ. do giếng sâu, có đường kính nhỏ, trời còn tối nên công tác cứu hộ gặp nhiều khó khăn. các chiến sỹ đã phối hợp nhịp nhàng dùng thang và dây thừng đưa xuống dưới giếng vừa trấn an và giải cứu nạn nhân. nhờ sự can thiệp kịp thời và chuyên nghiệp của lực lượng chức năng, nạn nhân đã được cứu nạn an toàn.",T13,T03,RandomForest,05_Balanced,val,giải cứu
REC_005911,chấn động: hsbc tổn thất 10 nghìn tỷ vì cho vay gián tiếp qua công ty tín dụng tư nhân,T02,T03,RandomForest,05_Balanced,val,chấn động
REC_011984,"nhân viên mkt hướng nội nhưng bắt cả mạng xã hội phải hướng về… chiếc quần tây của đại sứ mới =))) chiếc quần gây chấn động cộng đồng mạng này rốt cuộc thuộc về ai ai ai? ai sẽ là đại sứ mới của tiêm chủng long châu đây? đúng 12h trưa mai (19/5), tụi tui tiếp tục ôm điện thoại hóng xem long châu còn “xé túi mù” tới cỡ nào nhìn dáng sương sương vậy, anh em nảy số ra ai chưa?",T02,T10,RandomForest,05_Balanced,test,chấn động
REC_001901,khoảnh khắc hàng trăm người ở hà nội nhấc khối đá lớn giải cứu người bị kẹt chân,T13,T09,RandomForest,05_Balanced,test,giải cứu
REC_005818,elon musk cho biết mình đã giải cứu thế giới khỏi tận thế!,T10,T13,RandomForest,05_Balanced,test,giải cứu
REC_005101,"gái thái sốc khi quen hồng hài nhi việt bên ngoài điển trai bên trong ""ở dơ""",T13,T10,RandomForest,05_Balanced,test,sốc
REC_009865,"drama giữa đêm: vợ anh trai jisoo đăng đàn bảo vệ gia đình chồng mặc dù bị công ty quản lý gây sức ép, khẳng định không hề biết danh tính của nữ idol lúc mới yêu trong các bài đăng mới nhất, cô chia sẻ một sự thật bất ngờ rằng bản thân hoàn toàn không hề biết chồng mình là anh trai của một ngôi sao toàn cầu khi mới bắt đầu mối quan hệ. chỉ sau khi đã đăng ký kết hôn, cô thấy các con riêng của chồng thường xuyên nhận xét mình có nét giống ""dì xx"", cùng với việc mọi người liên tục bàn tán về sự tương đồng ngoại hình, cô mới tò mò lên namu wiki để tìm kiếm thông tin. lúc này, cô mới nhận ra danh tính thực sự của em chồng mình. qua đó, cô cũng lên tiếng khẩn thiết kêu gọi cộng đồng mạng đừng chỉ trích hay tấn công những người không liên quan, bởi cô hiểu rằng đây là vấn đề cá nhân giữa hai vợ chồng. tình tiết càng trở nên căng thẳng khi cô cho biết sau khi sự việc xảy ra, những người tự xưng là đại diện công ty quản lý đã tìm đến tận nhà bố mẹ đẻ của cô để gây áp lực, khiến gia đình cô sống trong sự bất an và sợ hãi. tiếp đó, người chồng còn thực hiện chiến thuật thaotungtamly bằng cách nhắn tin níu kéo, dùng hình ảnh các con và những kỷ niệm cũ để khơi gợi lòng trắc ẩn, nhằm mục đích khiến cô gỡ bỏ các bài tố cáo. tuy nhiên, nạn nhân khẳng định cô đã tỉnh táo trước những lời lẽ ""vừa đấm vừa xoa"" này và quyết tâm đưa sự thật ra ánh sáng để tự giải thoát cho bản thân sau chuỗi ngày bị kiểm soát và nguocdai cả về thể xác lẫn tinh thần.",T10,T13,RandomForest,05_Balanced,test,drama
REC_009269,"được biết nữ sinh này hiện không bị xử lý hình sự vì còn đang tuổi vị thành niên vụ việc nữ giáo viên tiểu học tại chiết giang bị học sinh hanhhung đang khiến nhiều cư dân mạng trung quốc bức xúc. nguồn cơn câu chuyện xảy ra vào ngày 7/1/2026, trong lúc can ngăn hai học sinh ẩu đả trong giờ ra chơi, nữ giáo viên họ tống (42 tuổi) bất ngờ bị một nữ sinh tancong vào mắt phải. kết quả là nhãn cầu phải của cô bị mất thị lực nghiêm trọng. tính đến thời điểm hiện tại, cô tống đã trải qua 2 cuộc phẫu thuật mắt nhưng tình trạng vẫn rất nặng. bác sĩ cho biết thị lực của cô hiện chỉ còn 004, đồng thời có nguy cơ gặp nhiều biến chứng lâu dài như đục thủy tinh thể hay tăng nhãn áp. trong chia sẻ mới đây, nữ giáo viên cho biết vụ việc đã để lại cho cô cú sốc tâm lý rất lớn. đồng thời, cô mong nữ sinh liên quan sẽ nhận hình thức xử lý và giáo dục phù hợp. cô cũng bày tỏ bản thân hiện không còn phù hợp để tiếp tục đứng lớp tại ngôi trường cũ và hy vọng sẽ được điều chuyển công tác. phía sở giáo dục cho biết yêu cầu này của cô tống vẫn đang được xem xét, sắp xếp. bên cạnh đó, phụ huynh của nữ sinh này đã đứng ra xin lỗi và cho biết sẽ chịu trách nhiệm tương ứng. riêng nữ sinh vì còn tuổi vị thành niên nên không bị xử lý hình sự.",T03,T13,XGBoost,03_Full_Clean,val,sốc
REC_004798,"sợ con dâu dính phốt, mẹ chồng hòa minzy lên tiếng vụ vải sâu",T10,T13,XGBoost,03_Full_Clean,val,phốt
REC_008421,"vib gây chấn động khi lo trọn gói tour đưa chủ thẻ đi los angeles gặp bts vib vừa gây bất ngờ lớn khi trở thành ngân hàng duy nhất tại châu á hợp tác cùng visa triển khai đặc quyền: đưa chủ thẻ việt nam vươn tầm thế giới tại bts world tour 'arirang' (los angeles, mỹ). đặc quyền ""special access"" trọn gói: không chỉ dừng lại ở cặp vé concert cực hiếm ngày 05/09, vib còn đài thọ toàn bộ vé máy bay khứ hồi, 4 đêm lưu trú khách sạn 5 sao và dịch vụ đưa đón. rào cản lớn nhất là thủ tục xin visa mỹ nay đã được vib hỗ trợ toàn bộ lệ phí và quy trình thực hiện cho người trúng giải. giá trị cốt lõi: chương trình tập trung vào tính công bằng. với tối đa 8 lượt quay may mắn tại vspin friday hàng tuần, cơ hội được chia đều cho tất cả, loại bỏ hoàn toàn cuộc đua ""top chi tiêu"". cánh cửa đến los angeles đã mở sẵn, thay vì chỉ dõi theo từ xa, giờ đây các army việt nam đã có thể tự tin viết nên chương mới cho hành trình thanh xuân của mình cùng sự đồng hành từ vib",T02,T10,XGBoost,03_Full_Clean,val,chấn động
REC_000748,"kịp thời cứu nạn thiếu nữ rơi xuống giếng sâu lúc rạng sáng. sự việc xảy ra vào khoảng 4 giờ sáng ngày 28/3, bà la thị nhanh (sn 1950, trú tổ dân phố ca công, phường hoài nhơn đông, tỉnh gia lai) đang ở trong nhà thì nghe tiếng động lạ phía giếng đào bên không nhà. ra kiểm tra, bà bàng hoàng phát hiện cháu nội là đỗ thị như q. (sn 2004) đã rơi xuống giếng nên lập tức hô hoán và trình báo cơ quan chức năng. tiếp nhận tin báo, công an phường hoài nhơn đông đã nhanh chóng có mặt, phối hợp với đội chữa cháy và cứu nạn cứu hộ khu vực số 4 (phòng cảnh sát pccc và cnch, công an tỉnh gia lai) triển khai các phương án cứu hộ. do giếng sâu, có đường kính nhỏ, trời còn tối nên công tác cứu hộ gặp nhiều khó khăn. các chiến sỹ đã phối hợp nhịp nhàng dùng thang và dây thừng đưa xuống dưới giếng vừa trấn an và giải cứu nạn nhân. nhờ sự can thiệp kịp thời và chuyên nghiệp của lực lượng chức năng, nạn nhân đã được cứu nạn an toàn.",T13,T09,XGBoost,03_Full_Clean,val,giải cứu
REC_011984,"nhân viên mkt hướng nội nhưng bắt cả mạng xã hội phải hướng về… chiếc quần tây của đại sứ mới =))) chiếc quần gây chấn động cộng đồng mạng này rốt cuộc thuộc về ai ai ai? ai sẽ là đại sứ mới của tiêm chủng long châu đây? đúng 12h trưa mai (19/5), tụi tui tiếp tục ôm điện thoại hóng xem long châu còn “xé túi mù” tới cỡ nào nhìn dáng sương sương vậy, anh em nảy số ra ai chưa?",T02,T06,XGBoost,03_Full_Clean,test,chấn động
REC_001901,khoảnh khắc hàng trăm người ở hà nội nhấc khối đá lớn giải cứu người bị kẹt chân,T13,T09,XGBoost,03_Full_Clean,test,giải cứu
REC_005818,elon musk cho biết mình đã giải cứu thế giới khỏi tận thế!,T10,T13,XGBoost,03_Full_Clean,test,giải cứu
REC_001858,"kẻ ьắп cán bộ công an hy sinh ở quảng ninh khai gì tại tòa? khánh khai tiếp, trong lúc hỗn loạn đã пổ sᴜ'пg về phía ô tô đối phương nhưng không nghĩ viên ᴆạп trúng cán bộ công an dẫn đến tử vong. sau đó, bị cáo tiếp tục điều khiển ô tô đuổi theo xe bán tải đang chở hải bị áp tải đi. khánh khai hải là “anh em kết nghĩa” nên muốn giải cứu.",T03,T09,XGBoost,03_Full_Clean,test,giải cứu
REC_009865,"drama giữa đêm: vợ anh trai jisoo đăng đàn bảo vệ gia đình chồng mặc dù bị công ty quản lý gây sức ép, khẳng định không hề biết danh tính của nữ idol lúc mới yêu trong các bài đăng mới nhất, cô chia sẻ một sự thật bất ngờ rằng bản thân hoàn toàn không hề biết chồng mình là anh trai của một ngôi sao toàn cầu khi mới bắt đầu mối quan hệ. chỉ sau khi đã đăng ký kết hôn, cô thấy các con riêng của chồng thường xuyên nhận xét mình có nét giống ""dì xx"", cùng với việc mọi người liên tục bàn tán về sự tương đồng ngoại hình, cô mới tò mò lên namu wiki để tìm kiếm thông tin. lúc này, cô mới nhận ra danh tính thực sự của em chồng mình. qua đó, cô cũng lên tiếng khẩn thiết kêu gọi cộng đồng mạng đừng chỉ trích hay tấn công những người không liên quan, bởi cô hiểu rằng đây là vấn đề cá nhân giữa hai vợ chồng. tình tiết càng trở nên căng thẳng khi cô cho biết sau khi sự việc xảy ra, những người tự xưng là đại diện công ty quản lý đã tìm đến tận nhà bố mẹ đẻ của cô để gây áp lực, khiến gia đình cô sống trong sự bất an và sợ hãi. tiếp đó, người chồng còn thực hiện chiến thuật thaotungtamly bằng cách nhắn tin níu kéo, dùng hình ảnh các con và những kỷ niệm cũ để khơi gợi lòng trắc ẩn, nhằm mục đích khiến cô gỡ bỏ các bài tố cáo. tuy nhiên, nạn nhân khẳng định cô đã tỉnh táo trước những lời lẽ ""vừa đấm vừa xoa"" này và quyết tâm đưa sự thật ra ánh sáng để tự giải thoát cho bản thân sau chuỗi ngày bị kiểm soát và nguocdai cả về thể xác lẫn tinh thần.",T10,T13,XGBoost,03_Full_Clean,test,drama
REC_009269,"ĐƯỢC BIẾT NỮ SINH NÀY HIỆN KHÔNG BỊ XỬ LÝ HÌNH SỰ VÌ CÒN ĐANG TUỔI VỊ THÀNH NIÊN Vụ việc nữ giáo viên tiểu học tại Chiết Giang bị học sinh hanhhung đang khiến nhiều cư dân mạng Trung Quốc bức xúc. Nguồn cơn câu chuyện xảy ra vào ngày 7/1/2026, trong lúc can ngăn hai học sinh ẩu đả trong giờ ra chơi, nữ giáo viên họ Tống (42 tuổi) bất ngờ bị một nữ sinh tancong vào mắt phải. Kết quả là nhãn cầu phải của cô bị mất thị lực nghiêm trọng. Tính đến thời điểm hiện tại, cô Tống đã trải qua 2 cuộc phẫu thuật mắt nhưng tình trạng vẫn rất nặng. Bác sĩ cho biết thị lực của cô hiện chỉ còn 0.04, đồng thời có nguy cơ gặp nhiều biến chứng lâu dài như đục thủy tinh thể hay tăng nhãn áp. Trong chia sẻ mới đây, nữ giáo viên cho biết vụ việc đã để lại cho cô cú sốc tâm lý rất lớn. Đồng thời, cô mong nữ sinh liên quan sẽ nhận hình thức xử lý và giáo dục phù hợp. Cô cũng bày tỏ bản thân hiện không còn phù hợp để tiếp tục đứng lớp tại ngôi trường cũ và hy vọng sẽ được điều chuyển công tác. Phía Sở Giáo dục cho biết yêu cầu này của cô Tống vẫn đang được xem xét, sắp xếp. Bên cạnh đó, phụ huynh của nữ sinh này đã đứng ra xin lỗi và cho biết sẽ chịu trách nhiệm tương ứng. Riêng nữ sinh vì còn tuổi vị thành niên nên không bị xử lý hình sự.",T03,T13,LinearSVC,01_Raw_Data,val,sốc
REC_004798,"Sợ con dâu dính phốt, mẹ chồng Hòa Minzy lên tiếng vụ vải sâu",T10,T13,LinearSVC,01_Raw_Data,val,phốt
REC_000748,"Kịp thời cứu nạn thiếu nữ rơi xuống giếng sâu lúc rạng sáng. Sự việc xảy ra vào khoảng 4 giờ sáng ngày 28/3, bà La Thị Nhanh (SN 1950, trú tổ dân phố Ca Công, phường Hoài Nhơn Đông, tỉnh Gia Lai) đang ở trong nhà thì nghe tiếng động lạ phía giếng đào bên hông nhà. Ra kiểm tra, bà bàng hoàng phát hiện cháu nội là Đỗ Thị Như Q. (SN 2004) đã rơi xuống giếng nên lập tức hô hoán và trình báo cơ quan chức năng. Tiếp nhận tin báo, Công an phường Hoài Nhơn Đông đã nhanh chóng có mặt, phối hợp với Đội Chữa cháy và cứu nạn cứu hộ khu vực số 4 (Phòng Cảnh sát PCCC và CNCH, Công an tỉnh Gia Lai) triển khai các phương án cứu hộ. Do giếng sâu, có đường kính nhỏ, trời còn tối nên công tác cứu hộ gặp nhiều khó khăn. Các chiến sỹ đã phối hợp nhịp nhàng dùng thang và dây thừng đưa xuống dưới giếng vừa trấn an và giải cứu nạn nhân. Nhờ sự can thiệp kịp thời và chuyên nghiệp của lực lượng chức năng, nạn nhân đã được cứu nạn an toàn.",T13,T09,LinearSVC,01_Raw_Data,val,giải cứu
REC_005911,Chấn động: HSBC tổn thất 10 nghìn tỷ vì cho vay gián tiếp qua công ty tín dụng tư nhân,T02,T03,LinearSVC,01_Raw_Data,val,chấn động
REC_011984,"Nhân viên MKT hướng nội nhưng bắt cả MXH phải hướng về… chiếc quần tây của đại sứ mới =))) Chiếc quần gây chấn động cộng đồng mạng này rốt cuộc thuộc về ai ai ai? Ai sẽ là đại sứ mới của Tiêm chủng Long Châu đây? Đúng 12h trưa mai (19/5), tụi tui tiếp tục ôm điện thoại hóng xem Long Châu còn “xé túi mù” tới cỡ nào Nhìn dáng sương sương vậy, anh em nảy số ra ai chưa?",T02,T10,LinearSVC,01_Raw_Data,test,chấn động
REC_001901,Khoảnh khắc hàng trăm người ở Hà Nội nhấc khối đá lớn giải cứu người bị kẹt chân,T13,T09,LinearSVC,01_Raw_Data,test,giải cứu
REC_005818,Elon Musk cho biết mình đã giải cứu thế giới khỏi tận thế!,T10,T13,LinearSVC,01_Raw_Data,test,giải cứu
REC_005101,"Gái Thái sốc khi quen hồng hài nhi Việt bên ngoài điển trai bên trong ""ở dơ""",T13,T10,LinearSVC,01_Raw_Data,test,sốc
REC_005446,"Chấn động giới ngân hàng: Một nhà băng tuyên bố sắp cắt giảm 12.000 người, nhân sự khối vận hành ảnh hưởng nặng nề",T02,T14,LinearSVC,01_Raw_Data,test,chấn động
REC_009865,"Drama giữa đêm: Vợ anh trai Jisoo đăng đàn bảo vệ gia đình chồng mặc dù bị công ty quản lý gây sức ép, khẳng định không hề biết danh tính của nữ idol lúc mới yêu Trong các bài đăng mới nhất, cô chia sẻ một sự thật bất ngờ rằng bản thân hoàn toàn không hề biết chồng mình là anh trai của một ngôi sao toàn cầu khi mới bắt đầu mối quan hệ. Chỉ sau khi đã đăng ký kết hôn, cô thấy các con riêng của chồng thường xuyên nhận xét mình có nét giống ""dì XX"", cùng với việc mọi người liên tục bàn tán về sự tương đồng ngoại hình, cô mới tò mò lên Namu Wiki để tìm kiếm thông tin. Lúc này, cô mới nhận ra danh tính thực sự của em chồng mình. Qua đó, cô cũng lên tiếng khẩn thiết kêu gọi cộng đồng mạng đừng chỉ trích hay tấn công những người không liên quan, bởi cô hiểu rằng đây là vấn đề cá nhân giữa hai vợ chồng. Tình tiết càng trở nên căng thẳng khi cô cho biết sau khi sự việc xảy ra, những người tự xưng là đại diện công ty quản lý đã tìm đến tận nhà bố mẹ đẻ của cô để gây áp lực, khiến gia đình cô sống trong sự bất an và sợ hãi. Tiếp đó, người chồng còn thực hiện chiến thuật thaotungtamly bằng cách nhắn tin níu kéo, dùng hình ảnh các con và những kỷ niệm cũ để khơi gợi lòng trắc ẩn, nhằm mục đích khiến cô gỡ bỏ các bài tố cáo. Tuy nhiên, nạn nhân khẳng định cô đã tỉnh táo trước những lời lẽ ""vừa đấm vừa xoa"" này và quyết tâm đưa sự thật ra ánh sáng để tự giải thoát cho bản thân sau chuỗi ngày bị kiểm soát và nguocdai cả về thể xác lẫn tinh thần.",T10,T13,LinearSVC,01_Raw_Data,test,drama
