keyword_group,gold_label,predicted_label,model_name,scenario,split,count
transport,T03,T17,LinearSVC,01_Raw_Data,test,2
entertainment,T10,T15,XGBoost,03_Full_Clean,test,2
entertainment,T13,T10,LinearSVC,01_Raw_Data,test,2
entertainment,T13,T10,LinearSVC,01_Raw_Data,val,2
transport,T09,T17,RandomForest,05_Balanced,test,2
economy,T02,T01,RandomForest,05_Balanced,val,2
disaster_accident,T13,T09,RandomForest,05_Balanced,test,2
economy,T10,T02,XGBoost,03_Full_Clean,test,2
entertainment,T03,T10,XGBoost,03_Full_Clean,test,2
crime,T01,T03,RandomForest,05_Balanced,val,2
crime,T03,T13,XGBoost,03_Full_Clean,test,2
crime,T03,T13,RandomForest,05_Balanced,val,2
disaster_accident,T10,T09,XGBoost,03_Full_Clean,val,2
entertainment,T03,T10,RandomForest,05_Balanced,test,2
crime,T01,T03,RandomForest,05_Balanced,test,2
crime,T03,T17,LogisticRegression,01_Raw_Data,test,2
crime,T01,T03,LogisticRegression,01_Raw_Data,test,2
entertainment,T10,T03,LinearSVC,01_Raw_Data,val,2
entertainment,T10,T03,LogisticRegression,01_Raw_Data,val,2
entertainment,T02,T10,LogisticRegression,01_Raw_Data,val,2
transport,T13,T17,XGBoost,03_Full_Clean,test,2
entertainment,T16,T01,LogisticRegression,01_Raw_Data,val,1
politics,T02,T01,XGBoost,03_Full_Clean,val,1
politics,T03,T01,LinearSVC,01_Raw_Data,test,1
entertainment,T16,T01,LinearSVC,01_Raw_Data,val,1
politics,T03,T01,LogisticRegression,01_Raw_Data,test,1
entertainment,T13,T10,XGBoost,03_Full_Clean,test,1
politics,T01,T03,XGBoost,03_Full_Clean,val,1
politics,T02,T01,RandomForest,05_Balanced,val,1
politics,T01,T14,RandomForest,05_Balanced,val,1
politics,T01,T13,LogisticRegression,01_Raw_Data,val,1
entertainment,T13,T10,RandomForest,05_Balanced,test,1
politics,T01,T13,RandomForest,05_Balanced,val,1
politics,T01,T13,XGBoost,03_Full_Clean,val,1
politics,T01,T14,LinearSVC,01_Raw_Data,val,1
politics,T01,T14,LogisticRegression,01_Raw_Data,val,1
politics,T01,T03,RandomForest,05_Balanced,val,1
politics,T01,T13,LinearSVC,01_Raw_Data,val,1
politics,T01,T03,RandomForest,05_Balanced,test,1
politics,T01,T03,LogisticRegression,01_Raw_Data,test,1
politics,T01,T14,XGBoost,03_Full_Clean,val,1
politics,T02,T01,LogisticRegression,01_Raw_Data,val,1
entertainment,T16,T10,XGBoost,03_Full_Clean,val,1
entertainment,T16,T10,RandomForest,05_Balanced,val,1
entertainment,T13,T10,RandomForest,05_Balanced,val,1
entertainment,T02,T10,LinearSVC,01_Raw_Data,test,1
entertainment,T13,T10,LogisticRegression,01_Raw_Data,test,1
entertainment,T10,T03,LogisticRegression,01_Raw_Data,test,1
entertainment,T01,T10,XGBoost,03_Full_Clean,test,1
entertainment,T02,T10,XGBoost,03_Full_Clean,test,1
entertainment,T01,T10,RandomForest,05_Balanced,test,1
entertainment,T03,T10,LinearSVC,01_Raw_Data,test,1
entertainment,T03,T10,LogisticRegression,01_Raw_Data,test,1
entertainment,T03,T10,RandomForest,05_Balanced,val,1
entertainment,T03,T10,XGBoost,03_Full_Clean,val,1
entertainment,T06,T10,LinearSVC,01_Raw_Data,test,1
entertainment,T01,T10,LogisticRegression,01_Raw_Data,test,1
entertainment,T06,T10,LogisticRegression,01_Raw_Data,test,1
entertainment,T06,T10,RandomForest,05_Balanced,test,1
entertainment,T10,T02,LinearSVC,01_Raw_Data,val,1
entertainment,T10,T02,XGBoost,03_Full_Clean,val,1
entertainment,T10,T03,LinearSVC,01_Raw_Data,test,1
entertainment,T10,T03,RandomForest,05_Balanced,test,1
economy,T14,T02,XGBoost,03_Full_Clean,val,1
entertainment,T10,T03,RandomForest,05_Balanced,val,1
entertainment,T10,T03,XGBoost,03_Full_Clean,test,1
entertainment,T01,T10,LinearSVC,01_Raw_Data,test,1
entertainment,T10,T11,XGBoost,03_Full_Clean,test,1
entertainment,T10,T13,LinearSVC,01_Raw_Data,test,1
politics,T03,T01,XGBoost,03_Full_Clean,test,1
entertainment,T10,T13,LinearSVC,01_Raw_Data,val,1
entertainment,T10,T13,LogisticRegression,01_Raw_Data,test,1
economy,T14,T05,XGBoost,03_Full_Clean,test,1
entertainment,T10,T13,RandomForest,05_Balanced,test,1
economy,T14,T05,RandomForest,05_Balanced,test,1
economy,T14,T05,LogisticRegression,01_Raw_Data,test,1
economy,T14,T05,LinearSVC,01_Raw_Data,test,1
economy,T14,T03,RandomForest,05_Balanced,val,1
politics,T03,T01,RandomForest,05_Balanced,test,1
transport,T01,T17,LogisticRegression,01_Raw_Data,val,1
politics,T03,T17,LinearSVC,01_Raw_Data,test,1
transport,T13,T09,LinearSVC,01_Raw_Data,val,1
transport,T13,T03,RandomForest,05_Balanced,test,1
transport,T13,T03,LinearSVC,01_Raw_Data,val,1
transport,T12,T17,XGBoost,03_Full_Clean,val,1
transport,T12,T17,XGBoost,03_Full_Clean,test,1
transport,T12,T17,LogisticRegression,01_Raw_Data,val,1
transport,T12,T17,LogisticRegression,01_Raw_Data,test,1
transport,T12,T17,LinearSVC,01_Raw_Data,val,1
transport,T12,T17,LinearSVC,01_Raw_Data,test,1
transport,T12,T13,RandomForest,05_Balanced,val,1
transport,T12,T10,RandomForest,05_Balanced,val,1
transport,T12,T10,LogisticRegression,01_Raw_Data,val,1
transport,T12,T10,LinearSVC,01_Raw_Data,val,1
transport,T12,T04,XGBoost,03_Full_Clean,val,1
transport,T12,T03,XGBoost,03_Full_Clean,val,1
transport,T12,T03,RandomForest,05_Balanced,test,1
transport,T10,T17,XGBoost,03_Full_Clean,val,1
transport,T09,T17,LinearSVC,01_Raw_Data,test,1
transport,T13,T03,XGBoost,03_Full_Clean,test,1
transport,T13,T09,LogisticRegression,01_Raw_Data,val,1
transport,T09,T03,LinearSVC,01_Raw_Data,val,1
transport,T13,T09,RandomForest,05_Balanced,val,1
transport,T17,T12,LogisticRegression,01_Raw_Data,val,1
transport,T17,T12,LogisticRegression,01_Raw_Data,test,1
transport,T17,T09,XGBoost,03_Full_Clean,test,1
transport,T17,T03,RandomForest,05_Balanced,test,1
transport,T17,T02,LogisticRegression,01_Raw_Data,test,1
transport,T17,T02,LinearSVC,01_Raw_Data,test,1
transport,T17,T01,LinearSVC,01_Raw_Data,val,1
transport,T16,T17,XGBoost,03_Full_Clean,val,1
transport,T14,T17,XGBoost,03_Full_Clean,val,1
transport,T14,T17,RandomForest,05_Balanced,val,1
transport,T14,T17,LogisticRegression,01_Raw_Data,val,1
transport,T14,T17,LinearSVC,01_Raw_Data,val,1
transport,T13,T17,XGBoost,03_Full_Clean,val,1
transport,T13,T17,RandomForest,05_Balanced,test,1
transport,T13,T17,LogisticRegression,01_Raw_Data,val,1
transport,T13,T10,LinearSVC,01_Raw_Data,test,1
transport,T13,T09,XGBoost,03_Full_Clean,val,1
transport,T09,T03,XGBoost,03_Full_Clean,val,1
transport,T07,T10,XGBoost,03_Full_Clean,val,1
politics,T03,T17,LogisticRegression,01_Raw_Data,test,1
transport,T01,T17,XGBoost,03_Full_Clean,val,1
economy,T14,T02,LogisticRegression,01_Raw_Data,val,1
transport,T01,T17,LinearSVC,01_Raw_Data,val,1
politics,T16,T10,RandomForest,05_Balanced,val,1
politics,T16,T02,XGBoost,03_Full_Clean,test,1
politics,T13,T09,XGBoost,03_Full_Clean,test,1
politics,T13,T09,LogisticRegression,01_Raw_Data,test,1
politics,T13,T09,LinearSVC,01_Raw_Data,test,1
politics,T13,T03,XGBoost,03_Full_Clean,val,1
politics,T13,T03,RandomForest,05_Balanced,val,1
politics,T13,T03,LogisticRegression,01_Raw_Data,val,1
politics,T13,T03,LinearSVC,01_Raw_Data,val,1
politics,T10,T01,XGBoost,03_Full_Clean,val,1
politics,T10,T01,RandomForest,05_Balanced,val,1
politics,T10,T01,LogisticRegression,01_Raw_Data,val,1
politics,T10,T01,LinearSVC,01_Raw_Data,val,1
politics,T03,T17,XGBoost,03_Full_Clean,test,1
politics,T03,T17,RandomForest,05_Balanced,test,1
transport,T01,T17,RandomForest,05_Balanced,val,1
transport,T02,T05,LinearSVC,01_Raw_Data,val,1
transport,T07,T10,RandomForest,05_Balanced,val,1
transport,T02,T05,LogisticRegression,01_Raw_Data,val,1
transport,T06,T10,RandomForest,05_Balanced,test,1
transport,T06,T10,LogisticRegression,01_Raw_Data,test,1
transport,T06,T10,LinearSVC,01_Raw_Data,test,1
transport,T03,T13,LinearSVC,01_Raw_Data,val,1
transport,T03,T10,XGBoost,03_Full_Clean,test,1
transport,T03,T10,RandomForest,05_Balanced,val,1
transport,T03,T10,RandomForest,05_Balanced,test,1
transport,T03,T06,LogisticRegression,01_Raw_Data,val,1
transport,T03,T02,XGBoost,03_Full_Clean,val,1
transport,T03,T02,RandomForest,05_Balanced,val,1
transport,T03,T02,LogisticRegression,01_Raw_Data,val,1
transport,T03,T02,LinearSVC,01_Raw_Data,val,1
transport,T02,T17,XGBoost,03_Full_Clean,val,1
transport,T02,T17,RandomForest,05_Balanced,val,1
transport,T02,T17,LogisticRegression,01_Raw_Data,val,1
transport,T02,T05,XGBoost,03_Full_Clean,val,1
transport,T02,T05,RandomForest,05_Balanced,val,1
economy,T14,T02,RandomForest,05_Balanced,val,1
economy,T10,T03,LinearSVC,01_Raw_Data,test,1
economy,T14,T02,LinearSVC,01_Raw_Data,val,1
crime,T13,T09,LinearSVC,01_Raw_Data,test,1
crime,T16,T03,RandomForest,05_Balanced,test,1
crime,T16,T03,LogisticRegression,01_Raw_Data,test,1
crime,T16,T03,LinearSVC,01_Raw_Data,test,1
crime,T13,T09,XGBoost,03_Full_Clean,val,1
crime,T13,T09,XGBoost,03_Full_Clean,test,1
crime,T13,T09,LogisticRegression,01_Raw_Data,val,1
crime,T13,T09,LogisticRegression,01_Raw_Data,test,1
crime,T13,T09,LinearSVC,01_Raw_Data,val,1
crime,T13,T01,RandomForest,05_Balanced,val,1
crime,T17,T03,LinearSVC,01_Raw_Data,val,1
crime,T12,T10,RandomForest,05_Balanced,val,1
crime,T12,T10,LogisticRegression,01_Raw_Data,val,1
crime,T12,T10,LinearSVC,01_Raw_Data,val,1
crime,T12,T03,RandomForest,05_Balanced,val,1
crime,T10,T12,XGBoost,03_Full_Clean,test,1
crime,T09,T13,XGBoost,03_Full_Clean,test,1
crime,T09,T13,RandomForest,05_Balanced,test,1
crime,T09,T13,LogisticRegression,01_Raw_Data,test,1
crime,T16,T03,XGBoost,03_Full_Clean,test,1
crime,T17,T03,RandomForest,05_Balanced,val,1
economy,T13,T16,XGBoost,03_Full_Clean,test,1
disaster_accident,T02,T13,LinearSVC,01_Raw_Data,test,1
disaster_accident,T09,T03,XGBoost,03_Full_Clean,val,1
disaster_accident,T09,T03,LinearSVC,01_Raw_Data,val,1
disaster_accident,T05,T17,RandomForest,05_Balanced,val,1
disaster_accident,T05,T17,LogisticRegression,01_Raw_Data,val,1
disaster_accident,T05,T04,LinearSVC,01_Raw_Data,val,1
disaster_accident,T03,T09,XGBoost,03_Full_Clean,test,1
disaster_accident,T03,T09,RandomForest,05_Balanced,test,1
disaster_accident,T03,T09,LogisticRegression,01_Raw_Data,test,1
disaster_accident,T02,T10,XGBoost,03_Full_Clean,val,1
crime,T17,T03,XGBoost,03_Full_Clean,val,1
disaster_accident,T02,T10,RandomForest,05_Balanced,val,1
disaster_accident,T02,T10,RandomForest,05_Balanced,test,1
disaster_accident,T02,T10,LogisticRegression,01_Raw_Data,val,1
disaster_accident,T02,T10,LinearSVC,01_Raw_Data,val,1
disaster_accident,T02,T09,XGBoost,03_Full_Clean,test,1
disaster_accident,T01,T03,LogisticRegression,01_Raw_Data,test,1
disaster_accident,T01,T03,LinearSVC,01_Raw_Data,test,1
crime,T17,T12,LogisticRegression,01_Raw_Data,val,1
crime,T09,T13,LinearSVC,01_Raw_Data,test,1
crime,T09,T03,XGBoost,03_Full_Clean,val,1
crime,T09,T03,RandomForest,05_Balanced,test,1
crime,T02,T03,XGBoost,03_Full_Clean,val,1
crime,T03,T10,RandomForest,05_Balanced,test,1
crime,T03,T10,LinearSVC,01_Raw_Data,val,1
crime,T03,T09,XGBoost,03_Full_Clean,test,1
crime,T03,T06,XGBoost,03_Full_Clean,val,1
crime,T03,T05,XGBoost,03_Full_Clean,val,1
crime,T03,T01,RandomForest,05_Balanced,val,1
crime,T03,T01,LogisticRegression,01_Raw_Data,val,1
crime,T03,T01,LinearSVC,01_Raw_Data,val,1
crime,T02,T03,XGBoost,03_Full_Clean,test,1
crime,T09,T03,LogisticRegression,01_Raw_Data,test,1
crime,T02,T03,RandomForest,05_Balanced,val,1
crime,T02,T03,RandomForest,05_Balanced,test,1
crime,T02,T03,LogisticRegression,01_Raw_Data,val,1
crime,T02,T03,LogisticRegression,01_Raw_Data,test,1
crime,T02,T03,LinearSVC,01_Raw_Data,val,1
crime,T02,T03,LinearSVC,01_Raw_Data,test,1
crime,T01,T03,XGBoost,03_Full_Clean,val,1
crime,T01,T03,XGBoost,03_Full_Clean,test,1
crime,T03,T10,RandomForest,05_Balanced,val,1
crime,T03,T10,XGBoost,03_Full_Clean,test,1
crime,T03,T10,XGBoost,03_Full_Clean,val,1
crime,T03,T12,XGBoost,03_Full_Clean,val,1
crime,T09,T03,LinearSVC,01_Raw_Data,val,1
crime,T09,T03,LinearSVC,01_Raw_Data,test,1
crime,T07,T03,XGBoost,03_Full_Clean,test,1
crime,T07,T03,RandomForest,05_Balanced,test,1
crime,T07,T03,LogisticRegression,01_Raw_Data,test,1
crime,T07,T03,LinearSVC,01_Raw_Data,test,1
crime,T06,T03,RandomForest,05_Balanced,test,1
crime,T06,T03,LogisticRegression,01_Raw_Data,test,1
crime,T06,T03,LinearSVC,01_Raw_Data,test,1
crime,T06,T01,XGBoost,03_Full_Clean,test,1
crime,T03,T17,RandomForest,05_Balanced,test,1
crime,T03,T17,LinearSVC,01_Raw_Data,test,1
crime,T03,T13,XGBoost,03_Full_Clean,val,1
crime,T03,T13,RandomForest,05_Balanced,test,1
crime,T03,T13,LogisticRegression,01_Raw_Data,val,1
crime,T03,T13,LogisticRegression,01_Raw_Data,test,1
crime,T03,T13,LinearSVC,01_Raw_Data,test,1
disaster_accident,T09,T08,RandomForest,05_Balanced,test,1
disaster_accident,T09,T12,XGBoost,03_Full_Clean,val,1
disaster_accident,T09,T13,RandomForest,05_Balanced,val,1
economy,T06,T02,XGBoost,03_Full_Clean,val,1
economy,T07,T02,XGBoost,03_Full_Clean,val,1
economy,T06,T16,XGBoost,03_Full_Clean,val,1
economy,T06,T13,RandomForest,05_Balanced,val,1
economy,T06,T13,LogisticRegression,01_Raw_Data,val,1
economy,T06,T10,LinearSVC,01_Raw_Data,val,1
economy,T06,T07,XGBoost,03_Full_Clean,test,1
economy,T06,T03,RandomForest,05_Balanced,val,1
economy,T06,T03,LinearSVC,01_Raw_Data,val,1
economy,T06,T02,LogisticRegression,01_Raw_Data,val,1
economy,T02,T17,RandomForest,05_Balanced,val,1
economy,T06,T02,LinearSVC,01_Raw_Data,test,1
economy,T06,T01,RandomForest,05_Balanced,test,1
economy,T03,T02,XGBoost,03_Full_Clean,test,1
economy,T03,T02,RandomForest,05_Balanced,test,1
economy,T03,T02,LogisticRegression,01_Raw_Data,test,1
economy,T03,T02,LinearSVC,01_Raw_Data,test,1
economy,T03,T01,XGBoost,03_Full_Clean,val,1
economy,T03,T01,RandomForest,05_Balanced,val,1
economy,T07,T03,LinearSVC,01_Raw_Data,val,1
economy,T07,T03,LogisticRegression,01_Raw_Data,val,1
economy,T07,T03,RandomForest,05_Balanced,val,1
economy,T10,T01,LogisticRegression,01_Raw_Data,test,1
economy,T13,T10,XGBoost,03_Full_Clean,val,1
economy,T13,T10,LogisticRegression,01_Raw_Data,test,1
economy,T13,T10,LinearSVC,01_Raw_Data,val,1
economy,T13,T10,LinearSVC,01_Raw_Data,test,1
economy,T13,T04,LogisticRegression,01_Raw_Data,val,1
economy,T13,T02,XGBoost,03_Full_Clean,test,1
economy,T13,T02,LogisticRegression,01_Raw_Data,test,1
economy,T13,T02,LinearSVC,01_Raw_Data,test,1
economy,T12,T13,XGBoost,03_Full_Clean,val,1
economy,T12,T13,RandomForest,05_Balanced,val,1
economy,T12,T13,LogisticRegression,01_Raw_Data,val,1
economy,T12,T13,LinearSVC,01_Raw_Data,val,1
economy,T10,T13,XGBoost,03_Full_Clean,val,1
economy,T10,T13,LogisticRegression,01_Raw_Data,val,1
crime,T01,T03,LinearSVC,01_Raw_Data,val,1
economy,T10,T02,RandomForest,05_Balanced,test,1
economy,T10,T02,LinearSVC,01_Raw_Data,val,1
economy,T02,T17,XGBoost,03_Full_Clean,val,1
economy,T02,T17,LogisticRegression,01_Raw_Data,val,1
disaster_accident,T09,T17,LinearSVC,01_Raw_Data,test,1
disaster_accident,T12,T17,LinearSVC,01_Raw_Data,val,1
disaster_accident,T17,T09,LinearSVC,01_Raw_Data,test,1
disaster_accident,T13,T10,LinearSVC,01_Raw_Data,test,1
disaster_accident,T13,T09,XGBoost,03_Full_Clean,val,1
disaster_accident,T13,T09,LogisticRegression,01_Raw_Data,val,1
disaster_accident,T13,T09,LinearSVC,01_Raw_Data,val,1
disaster_accident,T13,T03,RandomForest,05_Balanced,val,1
disaster_accident,T12,T17,XGBoost,03_Full_Clean,val,1
disaster_accident,T12,T17,LogisticRegression,01_Raw_Data,val,1
disaster_accident,T12,T13,RandomForest,05_Balanced,val,1
economy,T02,T16,XGBoost,03_Full_Clean,test,1
disaster_accident,T12,T09,XGBoost,03_Full_Clean,val,1
disaster_accident,T12,T09,RandomForest,05_Balanced,val,1
disaster_accident,T12,T09,LogisticRegression,01_Raw_Data,val,1
disaster_accident,T12,T09,LinearSVC,01_Raw_Data,val,1
disaster_accident,T12,T04,XGBoost,03_Full_Clean,val,1
disaster_accident,T09,T17,XGBoost,03_Full_Clean,test,1
disaster_accident,T09,T17,RandomForest,05_Balanced,test,1
disaster_accident,T09,T17,LogisticRegression,01_Raw_Data,test,1
disaster_accident,T17,T09,LogisticRegression,01_Raw_Data,test,1
disaster_accident,T17,T09,RandomForest,05_Balanced,test,1
disaster_accident,T17,T09,XGBoost,03_Full_Clean,test,1
disaster_accident,T17,T12,LogisticRegression,01_Raw_Data,test,1
economy,T02,T16,RandomForest,05_Balanced,test,1
economy,T02,T14,LogisticRegression,01_Raw_Data,test,1
economy,T02,T14,LinearSVC,01_Raw_Data,test,1
economy,T02,T13,XGBoost,03_Full_Clean,val,1
economy,T02,T13,RandomForest,05_Balanced,val,1
economy,T02,T13,LinearSVC,01_Raw_Data,test,1
economy,T02,T10,XGBoost,03_Full_Clean,val,1
economy,T02,T10,RandomForest,05_Balanced,val,1
economy,T02,T10,RandomForest,05_Balanced,test,1
economy,T02,T03,XGBoost,03_Full_Clean,test,1
economy,T02,T03,RandomForest,05_Balanced,test,1
economy,T02,T03,LogisticRegression,01_Raw_Data,test,1
economy,T02,T03,LinearSVC,01_Raw_Data,test,1
economy,T02,T01,XGBoost,03_Full_Clean,val,1
economy,T02,T01,LinearSVC,01_Raw_Data,val,1
economy,T01,T12,XGBoost,03_Full_Clean,test,1
disaster_accident,T17,T12,RandomForest,05_Balanced,test,1
transport,T17,T12,RandomForest,05_Balanced,test,1
